X\Y;1;2;3;4;5;6
0;0.006737947;0;0;0;0;0
1;0.025267301;0.008422;0;0;0;0
2;0.046545029;0.033246;0.004433;0;0;0
3;0.056026423;0.064646;0.01847;0.001231;0;0
4;0.049435079;0.082392;0.038027;0.005432;0.000181;0
5;0.033986617;0.077242;0.051495;0.011883;0.000849;0.0000113
6;0.018881454;0.056644;0.051495;0.017165;0.001981;0.0000566
7;0.008670055;0.033717;0.04046;0.018391;0.003065;0.000141469
8;0.003334637;0.016673;0.025936;0.015562;0.003537;0.000235782
9;0.001080669;0.006947;0.013894;0.010807;0.003242;0.000294728
10;0.000294728;0.002456;0.006316;0.006316;0.002456;0.000294728
11;0.000067;0.000737;0.002456;0.003158;0.001579;0.000245607
12;0.0000124;0.000186;0.000819;0.001364;0.000877;0.000175433
13;0.00000179;0.0000388;0.000233;0.000512;0.000426;0.000109646
14;0.000000183;0.00000639;0.0000554;0.000166;0.000183;0.0000609
15;0.0000000101;0.000000761;0.0000106;0.0000461;0.0000692;0.0000305
16;0;0.0000000507;0.00000152;0.0000106;0.0000231;0.0000138
17;0;0;0.000000127;0.0000019;0.00000666;0.00000577
18;0;0;0;0.000000211;0.00000158;0.00000222
19;0;0;0;0;0.000000264;0.000000792
20;0;0;0;0;0;0.000000345
