Роки;Обсяги продукції (товарів та послуг) лісового господарства (у фактичних цінах), млн.грн;Площа рубок, га;Заготівля деревини, тис.м3;Кількість лісових пожеж, одиниць;Площа лісових земель, пройдена пожежами, га;Згоріло та пошкоджено лісу на пні, м3;Збитки, заподіяні лісовими пожежами, тис.грн;Площа відтворення лісів, тис.га
1997;373;403100;10597;2309;1467;11806;615.4;38.5
1998;396.6;435400;10548.7;3915;4418;123034;4555.7;36.7
1999;521.3;434600;10308.7;6070;5532;163858;5822.3;38.6
2000;744.4;455100;11261.7;3696;1610;20249;1367.6;37.8
2001;824.2;570300;12022.3;3205;3772;139604;6204.3;42.6
2002;946.8;376591;12826.8;6383;4983;59206;3378.9;45.9
2003;1108.9;383191;15953.3;4527;2817;19720;1817.5;48.3
2004;1594.6;468648;17300.7;1876;595;1944;428.7;53.9
2005;1991.1;484673;17124.3;4223;2325;32101;3535;58.6
2006;2451.1;468188;17759.8;3842;4287;53119;5917.6;66.7
2007;2956.3;476241;19013.9;6100;13787;1304271;188412;73.6
2008;3382.7;425344;17687.5;4042;5529;395257;58750.3;80.2
2009;3138.1;357949;15876.5;7036;6315;223764;24686.4;80.9
2010;4097.7;402205;18064.6;3240;3668;343840;26728.4;70.1
2011;5674.8;421750;19746.2;2526;1049;11804;3215.9;72.4
2012;5911.6;417005;19763.6;2163;3479;289291;56062.7;70.1
2013;6363.9;415420;20340.6;1113;418;2496;1376.2;67.7
2014;7739.9;382623;20672.4;2003;13778;144694;51701.8;58
2015;10778.2;399296;21924.2;3813;14691;170686;20164.5;60.4
2016;12838.8;386382;22612.8;1249;1249;32559;8619.2;63.2
