True,Number play,2,2w,3,3w,4,4w,5,5w,6,6w
2,1777,16860,10,2444,21,132,530,0,0,0,20432000
5,1774,18805,10,2061,31,93,924,0,0,0,20282000
7,1772,17735,10,2196,27,110,740,0,0,0,20182000
8,1771,18713,10,2400,22,125,578,0,0,0,20132000
16,1763,13867,10,1692,27,112,548,0,0,0,19732000
26,1753,13665,10,1338,40,62,1166,0,0,0,19000000
30,1749,13130,10,1596,29,64,995,0,0,0,18600000
33,1746,18753,10,2189,29,106,817,0,0,0,18300000
34,1745,16463,10,2228,22,163,402,0,0,0,18200000
35,1744,13892,10,1687,30,78,893,0,0,0,18100000
36,1743,14481,10,1863,27,113,611,0,0,0,18000000
40,1739,12028,10,1461,33,82,803,0,0,0,17600000
43,1736,13552,10,1503,33,55,1233,0,0,0,17300000
45,1734,14127,10,1588,33,59,1201,0,0,0,17100000
46,1733,13787,10,1805,24,95,629,0,0,0,17000000
47,1732,13100,10,1731,29,94,729,0,0,0,16900000
