№ розіграшу;Дата проведення;2;2w;3;3w;4;4w;5;5w;6;6w;sum;mean;disper;22;33;44;55;66
1779;25.04.2018;16328;10;2201;24;113;641;3;30208;0;20532000;379161;20,33580048;1,13852E+28;163280;52824;72433;90624;0
1778;21.04.2018;17268;10;2342;23;138;527;6;15170;0;20482000;390292;19,75761871;1,25544E+27;172680;53866;72726;91020;0
1777;18.04.2018;16860;10;2444;21;132;530;0;0;0;20432000;289884;14,91479728;1,13394E+21;168600;51324;69960;0;0
1776;14.04.2018;17233;10;2153;25;120;605;1;90831;0;20382000;389586;19,97159994;1,51128E+29;172330;53825;72600;90831;0
1775;11.04.2018;14781;10;1786;27;89;729;1;81188;0;20332000;342101;20,53797202;3,80573E+29;147810;48222;64881;81188;0
1774;07.04.2018;18805;10;2061;31;93;924;0;0;0;20282000;337873;16,12066415;3,48704E+22;188050;63891;85932;0;0
1773;04.04.2018;17964;10;2359;22;117;601;2;43987;0;20232000;389829;19,07000294;9,25843E+27;179640;51898;70317;87974;0
1772;31.03.2018;17735;10;2196;27;110;740;0;0;0;20182000;318042;15,86956739;1,14559E+22;177350;59292;81400;0;0
1771;28.03.2018;18713;10;2400;22;125;578;0;0;0;20132000;312180;14,69912421;1,54002E+21;187130;52800;72250;0;0
1770;24.03.2018;15671;10;1566;43;58;1562;1;113311;0;20082000;427955;24,74300416;5,12354E+31;156710;67338;90596;113311;0
1769;21.03.2018;18130;10;2470;22;128;587;3;31307;0;20032000;404697;19,52134485;3,39874E+27;181300;54340;75136;93921;0
1768;17.03.2018;16455;10;1761;33;67;1188;2;49789;0;19982000;401837;21,97631939;1,28175E+30;164550;58113;79596;99578;0
1767;14.03.2018;16720;10;1832;33;95;862;2;51199;0;19932000;411944;22,08933455;6,84842E+29;167200;60456;81890;102398;0
1766;10.03.2018;16567;10;1908;30;128;610;6;16271;0;19882000;398616;21,42060293;1,86554E+28;165670;57240;78080;97626;0
1765;07.03.2018;14992;10;1650;34;69;1090;4;23510;0;19832000;375270;22,45109183;3,05914E+29;149920;56100;75210;94040;0
1764;03.03.2018;16563;10;2308;22;143;477;2;42672;0;19782000;369961;19,45524821;4,53771E+27;165630;50776;68211;85344;0
1763;28.02.2018;13867;10;1692;27;112;548;0;0;0;19732000;245730;15,68055644;7,15768E+21;138670;45684;61376;0;0
1762;24.02.2018;16840;10;2218;23;125;547;3;28499;0;19682000;373286;19,45616595;5,11842E+27;168400;51014;68375;85497;0
1761;21.02.2018;13765;10;1591;34;58;1249;1;90553;0;19632000;354739;23,01258514;6,29634E+30;137650;54094;72442;90553;0
1760;17.02.2018;16195;10;1998;26;97;729;1;88424;0;19559000;373035;20,39445629;2,78655E+29;161950;51948;70713;88424;0
1759;14.02.2018;16683;10;2604;19;162;426;4;21583;0;19484000;371650;19,10502236;1,37384E+24;166830;49476;69012;86332;0
1758;10.02.2018;16730;10;2251;22;193;354;1;85431;0;19412000;370575;19,32594524;9,98693E+27;167300;49522;68322;85431;0
1757;07.02.2018;14269;10;1962;26;105;658;1;86482;0;19342000;349274;21,37932301;1,91822E+29;142690;51012;69090;86482;0
1756;03.02.2018;14924;10;1994;24;78;841;2;41026;0;19275000;344746;20,28156254;3,61853E+28;149240;47856;65598;82052;0
1755;31.01.2018;16412;10;2303;21;110;603;1;82928;0;19200000;361741;19,21496866;1,24123E+28;164120;48363;66330;82928;0
1754;27.01.2018;16569;10;1972;26;107;646;3;28829;0;19100000;372571;19,97592622;2,29781E+28;165690;51272;69122;86487;0
1753;24.01.2018;13665;10;1338;40;62;1166;0;0;0;19000000;262462;17,42197146;2,69459E+23;136650;53520;72292;0;0
1752;20.01.2018;18014;10;2453;21;107;656;2;43917;0;18900000;389679;18,93852061;4,61026E+27;180140;51513;70192;87834;0
1751;17.01.2018;12776;10;1441;34;68;987;1;83908;0;18800000;327778;22,94400112;3,31391E+30;127760;48994;67116;83908;0
1750;13.01.2018;15927;10;2161;23;108;635;3;28580;0;18700000;363293;19,96225067;5,42998E+27;159270;49703;68580;85740;0
1749;10.01.2018;13130;10;1596;29;64;995;0;0;0;18600000;241264;16,31264368;3,82462E+22;131300;46284;63680;0;0
1748;06.01.2018;16835;10;2215;23;107;646;1;86485;0;18500000;374902;19,56895292;5,64974E+28;168350;50945;69122;86485;0
1747;03.01.2018;14770;10;1841;23;104;563;2;36622;0;18400000;321839;19,25219836;9,64646E+27;147700;42343;58552;73244;0
1746;30.12.2017;18753;10;2189;29;106;817;0;0;0;18300000;337613;16,04014633;1,60933E+22;187530;63481;86602;0;0
1745;27.12.2017;16463;10;2228;22;163;402;0;0;0;18200000;279172;14,8070436;6,90437E+20;164630;49016;65526;0;0
1744;23.12.2017;13892;10;1687;30;78;893;0;0;0;18100000;259184;16,55387367;3,42071E+22;138920;50610;69654;0;0
1743;20.12.2017;14481;10;1863;27;113;611;0;0;0;18000000;264154;16,05116364;7,88145E+21;144810;50301;69043;0;0
1742;16.12.2017;14616;10;1906;26;120;559;2;41982;0;17900000;346760;20,83393415;3,07534E+28;146160;49556;67080;83964;0
1741;13.12.2017;14038;10;1710;28;81;803;1;81316;0;17800000;334619;21,13828174;4,72361E+29;140380;47880;65043;81316;0
1740;09.12.2017;15511;10;2052;23;91;691;2;39345;0;17700000;343877;19,47649524;1,37973E+28;155110;47196;62881;78690;0
1739;06.12.2017;12028;10;1461;33;82;803;0;0;0;17600000;234339;17,2676295;5,4933E+22;120280;48213;65846;0;0
1738;02.12.2017;14795;10;1919;24;82;761;1;78071;0;17500000;334479;19,91302018;1,00134E+29;147950;46056;62402;78071;0
1737;29.11.2017;14074;10;1683;27;81;754;2;38212;0;17400000;323679;20,4342803;7,04162E+28;140740;45441;61074;76424;0
1736;25.11.2017;13552;10;1503;33;55;1233;0;0;0;17300000;252934;16,73951026;9,86094E+22;135520;49599;67815;0;0
1735;22.11.2017;15598;10;2286;20;161;382;2;38522;0;17200000;340246;18,85332742;3,30311E+26;155980;45720;61502;77044;0
1734;18.11.2017;14127;10;1588;33;59;1201;0;0;0;17100000;264533;16,77019145;8,82783E+22;141270;52404;70859;0;0
1733;15.11.2017;13787;10;1805;24;95;629;0;0;0;17000000;240945;15,35953337;3,50992E+21;137870;43320;59755;0;0
1732;11.11.2017;13100;10;1731;29;94;729;0;0;0;16900000;249725;16,7319933;1,85398E+22;131000;50199;68526;0;0
1731;08.11.2017;13836;10;1596;29;42;1500;1;78773;0;16800000;326417;21,09318255;1,90342E+30;138360;46284;63000;78773;0
1730;04.11.2017;16530;10;2088;21;103;578;3;24848;0;16700000;343226;18,33080538;1,42231E+27;165300;43848;59534;74544;0
