
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Усього зайнято, 20175,19971.5,20091.2,20163.3,20295.7,20680,20730.4,20904.7,20972.3,20191.5,20266,20324.2,19261.4,19314.2,18073.3,16443.2,16276.9
Сільське лісове та рибне господарство,4367,4148.1,4135.8,4105.7,3998.3,4005.5,3652.6,3484.5,3322.1,3152.2,3115.6,3410.3,3308.5,3389,3091.4,2870.6,2866.5
Промисловість,4598.3,4390.3,4220.4,4123.2,4077.1,4072.4,4036.9,3973,3871.4,3546.9,3461.5,3352.7,3236.7,3170,2898.2,2573.9,2494.8
Будівництво,903.6,865.4,838.9,833.5,907.5,941.5,987.1,1030.2,1043.4,966.2,943,924.5,836.4,841.1,746.4,642.1,644.5
Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2900.3,3179.9,3398.2,3486.7,3690,3879.6,4092.1,4241.2,4408.5,4394.3,4489.9,4520.6,4160.2,4269.5,3965.7,3510.7,3516.2
Транспорт складське господарство поштова та кур'єрська діяльність,1076.4,1053.3,1075.2,1081.5,1092.2,1112.6,1134.6,1153.4,1164.4,1102.5,1104,1095.9,1150.9,1163.6,1113.4,998,997.2
Тимчасове розміщування й організація харчування,221,242.3,258.9,265.7,281.2,295.6,311.8,323.2,335.9,334.8,342.1,344.4,326.7,328.9,309.1,277.3,276.7
Інформація та телекомунікації,278.6,272.6,278.3,279.9,282.7,287.9,293.7,298.5,301.4,285.4,285.7,283.6,297.9,299.9,284.8,272.9,275.2
Фінансова та страхова діяльність,166.1,171.9,178,190.3,216.1,247.9,283.9,344.4,394.9,351.4,332.8,350.6,315.8,306.2,286.8,243.6,225.6
Операції з нерухомим майном,224.6,229.7,233.5,251.8,253.2,266.1,286.8,312.4,316.7,316.3,317.5,326.9,315.8,306.2,286.8,243.6,225.6
Професійна наукова та технічна діяльність,351.5,359.4,365.4,394.1,396.3,416.4,448.9,488.8,495.6,494.9,496.8,511.6,322.2,314.3,286.1,268.3,255.5
Діяльність у сфері адміністративного та допоміжного обслуговування,239.8,245.2,249.3,268.9,270.4,284.1,306.3,333.5,338.1,337.7,339,349.1,504.1,493.6,456,422.9,428.1
Державне управління й оборона; обов'язкове соціальне страхування,1198.6,1163,1183.4,1170.6,1050.2,1028.9,1033.7,1036.4,1067.5,1078.6,1223.8,1055.5,1003.6,962.3,959.5,974.5,973.1
Освіта,1609.7,1621.3,1630.3,1637.2,1648.7,1668.2,1690.5,1693.7,1702.4,1698.4,1688.3,1677.6,1633.2,1611.2,1587.7,1496.5,1441.4
Охорона здоров'я та надання соціальної допомоги,1379.6,1361.8,1359.8,1366.5,1348.9,1356.6,1356.7,1359,1369.9,1348.1,1341.4,1320.8,1181.4,1171.8,1150.5,1040.7,1030.4
Мистецтво спорт розваги та відпочинок,232.5,235.2,241.7,249.4,275.9,287.8,287.2,293.4,296.1,276.2,276.5,282,225.6,226.5,221.2,207.9,201.6
Інші види економічної діяльності,427.4,432.1,444.1,458.3,507,528.9,527.7,539.1,544,507.6,508.2,518.2,414.3,423,382.2,344.7,345
